sample_id	subject_id	relation_id	timepoint
21242_59	B01261	B01261	21
21242_34	B01265	B01265	4
21242_58	B01265	B01265	7
21242_70	B01265	B01265	21
24759_5_16	B01265	B01265	100
21242_36	B01277	B01277	0
21242_53	B01277	B01277	4
21242_57	B01277	B01277	7
21673_4	B01277	B01277	21
21242_41	B01278	B01278	4
21242_54	B01278	B01278	7
21242_67	B01278	B01278	21
25076_3_13	B01278	B01278	100
37035_5_31	B01279	B01279	4
21673_32	B01284	B01284	21
21673_50	B01284	B01284	4
22178_4_15	B01284	B01284	7
24469_3_10	B01284	B01284	100
37081_2_22	B01294	B01294	7
21673_11	B01299	B01299	21
21673_51	B01299	B01299	4
21673_52	B01299	B01299	7
24469_3_4	B01299	B01299	100
37081_2_19	B01326	B01326	4
37081_2_21	B01335	B01335	7
21673_21	B01339	B01339	21
21673_53	B01339	B01339	4
21673_54	B01339	B01339	7
24469_6_6	B01339	B01339	100
21242_51	B01340	B01340	0
21242_60	B01340	B01340	4
21242_61	B01340	B01340	7
21242_66	B01340	B01340	14
37035_5_32	B01345	B01345	4
37081_2_17	B01349	B01349	7
37081_2_24	B01356	B01356	7
37081_2_23	B01361	B01361	7
21242_52	B01364	B01364	0
21242_65	B01364	B01364	4
21242_68	B01364	B01364	7
21673_30	B01364	B01364	21
24469_3_3	B01364	B01364	100
21673_25	B01365	B01365	21
21673_55	B01365	B01365	4
21673_56	B01365	B01365	7
24469_2_4	B01365	B01365	100
21673_57	B01368	B01368	7
21673_58	B01368	B01368	0
24211_2_5	B01372_T1	B01372	7
24211_2_7	B01372_T2	B01372	7
24469_1_13	B01372_T1	B01372	100
24469_6_3	B01372_T2	B01372	100
21523_4_12	B01373	B01373	4
21523_4_13	B01373	B01373	7
21523_4_7	B01373	B01373	21
25076_5_16	B01373	B01373	100
25013_2_14	B01374	B01374	100
25013_3_3	B01374	B01374	7
21673_34	B01375	B01375	21
21673_59	B01375	B01375	4
21673_60	B01375	B01375	7
21842_2_12	B01406	B01406	21
21842_2_13	B01406	B01406	4
21842_2_14	B01406	B01406	7
24469_7_7	B01406	B01406	100
21523_4_11	B01408	B01408	21
21673_13	B01408	B01408	7
21673_15	B01408	B01408	4
21673_17	B01408	B01408	0
24469_7_4	B01408	B01408	100
21523_4_5	B01409	B01409	21
21673_61	B01409	B01409	4
22178_4_16	B01409	B01409	7
22178_4_17	B01409	B01409	0
21673_18	B01413	B01413	7
21673_35	B01413	B01413	21
21673_62	B01413	B01413	4
24211_2_11	B01415	B01415	7
24211_2_21	B01415	B01415	21
24469_6_4	B01415	B01415	100
24211_2_9	B01416	B01416	7
24469_6_13	B01416	B01416	100
24211_2_8	B01417	B01417	4
24469_2_18	B01417	B01417	100
24469_4_6	B01417	B01417	21
37081_2_26	B01420	B01420	4
25013_2_20	B01421	B01421	100
25013_3_4	B01421	B01421	7
37081_2_27	B01421	B01421	4
23164_6_4	B01423	B01423	21
23164_7_13	B01423	B01423	4
23430_6_1	B01423	B01423	7
24469_2_2	B01423	B01423	100
21523_21	B01424	B01424	21
21673_16	B01424	B01424	7
21673_6	B01424	B01424	4
25013_1_7	B01438	B01438	7
25076_3_14	B01438	B01438	100
21523_4_10	B01450_T2	B01450	21
21523_4_14	B01450_T1	B01450	4
21523_4_15	B01450_T2	B01450	4
21523_4_16	B01450_T1	B01450	7
21523_4_17	B01450_T2	B01450	7
21523_4_9	B01450_T1	B01450	21
24469_2_6	B01450_T1	B01450	100
24469_6_16	B01450_T2	B01450	100
37273_8_2	B01461	B01461	7
37081_2_29	B01464	B01464	7
21523_4_18	B01471	B01471	7
21523_4_6	B01471	B01471	0
21842_2_15	B01471	B01471	21
21842_2_16	B01472	B01472	21
21842_2_17	B01472	B01472	4
21842_2_18	B01472	B01472	7
24469_7_10	B01472	B01472	100
24211_2_16	B01497	B01497	4
24211_3_1	B01497	B01497	7
24469_3_14	B01497	B01497	100
37273_3_1	B01504	B01504	7
